"School","Return_Start_Date","Return End Date","Date","Arrangements1","Arrangements2","Risk Assessment1","Risk Assessment2","Risk Assessment3","H&S Training1","H&S Training2","H&S Training3","H&S Training4","H&S Training5","Fire Drills1","Fire Drills2","PEEPS1","PEEPS2","PEEPS3","BU Owned Assets1","BU Owned Assets2","BU Owned Assets3","Incidents and Investigations1","Incidents and Investigations2","Incidents and Investigations3","Incidents and Investigations4","Monitoring Schedule1","Monitoring Schedule2","Monitoring Schedule3","Leadership walkarounds1","Leadership walkarounds2","Action Log1","Action Log2","Action Log3","Return_completed?","BU_arrangements_comments","RA_comment","H&S Training_5_confidence","Risk Assessment3_confidence","H&S_training_comments","fire_drills_comments","PEEPS_comments","assets_comments","incidents_comments","monitoring_comments","actions_comments"
"Computer Sciences","02/01/2025","31/7/2025","01/08/2025 00:00","19","19","11","11","40%","146","93","128","100","65%","1","0","7","4","0","0","0","0","0","2","1","2","3","7","7","1","1","[""RMS""]","0","3","True","Document has been updated May 25","Risk assessment Log/register in place

Currently reviewing and updating research/teaching risk assessments and putting a new Computer Science risk assessment policy in place","Quite Confident (61%-85%)","Somewhat Confident (36%-60%)","A training matrix is in place and gets updated regularly. ","We do a business unit fire drill every year. Our last one was done in May 24 and we log all of them. The fire drill process has now changed and we are waiting on the fire department to tell us what month we are going to be doing our next one. ","Number of PEEPs required = 7 (this is over the last academic year and includes one student who will graduate this week). Number of PEEPs in place = 4 (of the 3 missing; one student did not respond to requests to set up a PEEP, two names have only just appeared when I searched on the system. ",,"We have had 2 incidents in the reporting period. Both got reported and investigated. One was near miss. ","Monthly housekeeping checks are being done. We keep a housekeeping log and any actions from the checks go into the log. Full inspections are to be carried out every 12 months. The Business Unit Senior Leaders do a safety walk around yearly. Ours was recently done in April 2025 and logged.  
",
"BDI","02/01/2025","31/7/2025","01/08/2025 00:00","33","20","443","207","44","805","582","716","80","5","2","2","0","0","0","114","1","0","0","7","4","11","17","11","5","4","3","[""Inspection"",""Audit"",""Incident Investigation"",""Risk Assessment"",""Committee"",""RMS""]","69","63","True","33 topics are relevant to the BDI, 20 have been reviewed and updated. We have 13 that exist as arrangements but have not been recently reviewed.","We launched our risk assessment register 13th August after doing a pre-launch in June where we did an incentive to carry out the groups bulk uploads into the register for them. 
We are also doing a drop in session for anyone not sure on the system or needing further assistance","Very Confident (86%-100%)","Quite Confident (61%-85%)","Training matrix - Schools assigning to Atlas as well as courses linked on our matrix but are not currently available i.e Safety Office & UoN courses.

% in date - As BDI, we are unable to access a lot of training data as we are not part of the schools that our staff work under.",,"We currently have no one requiring a PEEP","1 PNA Gemini Autoclave from A91 which is in storage

25 assets completed in 2025 during the reporting period.",,"1 leadership walkaround was rescheduled to September due to scheduling conflicts and annual leave for the summer holidays.

Inspections were rescheduled and shuffled. Additionally, we are reworking our inspection schedule to include more inspecting staff as we had only 3 conducting inspections.",
"Health and Safety","02/01/2025","31/7/2025","01/08/2025 00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"True",,,,,,,,,,,
"Biosciences","02/01/2025","31/7/2025","01/08/2025 00:00","32","29","0","0","90","299","240","260","90","80","11","2","1","1","0","226","0","0","0","7","2","9","16","0","0","1","1","[""Incident Investigation"",""Committee"",""RMS"",""Inspection"",""Audit"",""Risk Assessment""]","36","21","True","Note that 2 of the missing 'arrangements' are the Risk Register (of RAs), and the Emergency Response Plan. The remaining missing arrangement is for DSEAR. The Stress Managements Arrangements have been written, but may need further revision following further review by various School committees.","There is no RA risk register in place. This will be created once the School's Safety SharePoint site is created and RAs are uploaded and reviewed (in the coming months). Obviously there are MRAs and ARAs in place for the work being carried out, but these have not be put into a 'register'.","Quite Confident (61%-85%)","Quite Confident (61%-85%)","All staff have done Fire Safety training, but I have chased those who's training has lapsed (hence the discrepancy of 39). I'm chasing those who haven't done the Induction course. ","Remaining 9 fire drills were planned for July, but had to be postponed due to the other building attendant being off sick on the day it was planned for. Being rearranged for August.",,,,"Annual monitoring is planned for next reporting period in all 16 areas of the School.","This is the data from the RMS. A lot of actions from the H&S Committee overlap with the RMS actions."
"Chemistry","02/01/2025","31/7/2025","01/08/2025 00:00","35","35","0","0","80","178","162","114","0","0","3","3","1","1","0","187","0","6","2","36","10","34","9","9","9","4","4","[""RMS""]","5","5","True",,"The new School Sharepoint site contains a comprehensive new Risk Assessment register but it is not live yet.  The School H&S Coordinator has a good knowledge of Risk Assessment in the School as evidenced by files stored on local drives and Teams.  ",,,"The new School Sharepoint site contains a comprehensive new Training Matrix register but it is not live yet.",,"There is one PEEP that I am aware of.",,"Near miss number is an estimate.",,
"Mathematical Sciences","02/01/2025","31/7/2025","01/08/2025 00:00","23","23","6","6","85%","115","100","110","100%","78%","1","1","2","2","0","2","0","0","0","0","0","0","134","7","7","7","7",,"3","3","True",,"We need to do some more work on the risk assessment that covers students for out of hours  ","Quite Confident (61%-85%)","Quite Confident (61%-85%)","We regularly remind staff of the importance of training, we try and ensure new staff complete the mandatory training within a couple of weeks of their induction. Staff need a reminder  about DSE. We would like to know more about when and how UniCore will assist us in monitoring uptake of training ",,"We have recently refreshed Evac chair training withing the school of Maths, 3 people  have been trained July 25. We need to ensure that we practice and also ensure that we complete drills with the people in question ",,,"Yearly we carry out individual offices inspection. Monthly - common spaces",
"Pharmacy","02/01/2025","31/7/2025","01/08/2025 00:00","28","25","117","117","75%","147","123","148","90","50","2","2","5","4","1","19","3","0","2","12","5","15","36","0","0","0","0",,"14","14","True","BU arrangements document is being slowly edited and updated as improvements are made to the schools H&S compliance.
Most BU arrangements have been signed off by the head of the business unit and FPVC/PS director, however it was highlighted some of these arrangements were not suitable and sufficient.","at last count, there were 117 responses to the RA register submission, however there are 782 risk assessments in the library.
Although i am somewhat confident that most/all people have RAs for the work they are doing, i am much less confident that these are actively monitored and updated.",,,"These numbers are gathered from the august 2025 return linked above. However, i get slightly different numbers if i use the HSD unicore data and cross ref that with the staff list:
133 - fire safety
111 - H&S induction","1 drill per building - Boots Science Building and Pharmacy School Building","3 student PEEPs, 1 recently created for a staff member, 1 in the process of being created for a staff member.
no temporary PEEPs for staff members at the moment.","3 assets unavailable due to the pharmacy/psychology C floor issue - these need to be reviewed and either removed from the asset list or their located updated to BDI and checked.","we still have 1 ongoing - incident 18537 - just waiting for advice but incident has been investigated","This is in the process of being organised and re-started. Housekeeping checks have been implemented and are going well
number of areas requiring inspection may be subject to change depending on how we aproach PSB audits. 36 is the number of areas currently seperated for housekeeping checks.","other - discussions with H&S stakeholders in single meetings outside of committee."
"Physics and Astronomy","02/01/2025","31/7/2025","01/08/2025 00:00","35","35","0","0","70","199","109","175","0","0","2","1","1","1","1","0","0","0","0","3","0","3","7","7","7","4","4",,"5","5","True",,"The Risk Assessment register in Physics & Astronomy is not live yet.","Very Confident (86%-100%)","Quite Confident (61%-85%)","There isn't a training matrix in Physics & Astronomy at the moment.",,,"No-one in the School of Physics & Astronomy is able to access the Allianz database.",,,
"Psychology","02/01/2025","31/7/2025","01/08/2025 00:00","10","10","410","80","90","112","52","90","100%","100","1","2","0","0","0","2","2","0","0","4","0","4","4","3","3","0","0","[""RMS""]","8","1","True","School BU arrangements (Low risk) currently in date but will be due for review before next KPI return.","The school RA database holds all RA's from it's inception including may archived (or not live) RA's The vast majority of RA's are for specific research activities and often do not need reviewing after completion of the activity. There are roughly 10% of school RA's that are ongoing","Very Confident (86%-100%)","Very Confident (86%-100%)","All Psychology staff, PGR's and casual workers due an 'in house' basic building safety induction including fire safety current records show completion rate at 95% for current staff. This may confuse Psychology staff as to the requirement for an additional online safety induction. ","One school arranged drill and one false alarm recently that necessitated a full evacuation so acted as a drill in absence of safety office arranged drill. NB school now occupies two buildings and Med school still retains responsibility for fire drills in HS building. They arranged 1 fire drill.","No PEEPS in place currently. This varies yearly with each new UG and PGR intake in October when I will often be notified by individual staff members.","Two portable air compressors listed as on Allianz database held within school (both unused) last checked and serviced circa 2023 when they where identified and added to list","Incident numbers 18233, 18290, 18293,18408","Currently inspection broken down into 4 areas, Psych main building offices, labs, workshop and HS building. Leadership walkarounds needs flagging in school safety committee for both buildings.","No separate log outside RMS held in school. Actions from inspections/audits raised as required on estates planon or locally actioned as required. Outstanding Med/High priority items all relate to COSHH module and work at Hillcrest ongoing to resolve completion of these including BSO appointment."
"Life Sciences","02/01/2025","31/7/2025","01/08/2025 00:00","23","17","821","820","75","337","237","283","75%","60","0","0","0","0","0","42","3","1","0","15","9","24","182","42","42","1","1","[""Audit"",""RMS"",""Committee"",""Housekeeping"",""Inspection"",""Incident Investigation"",""Risk Assessment""]","21","20","True","Plan to completed review, and approved BU has been developed. The plan and is located in the SoLS Safety team's Team chanel.","RA coverage percentage is unknown—75% is an estimate.","Somewhat Confident (36%-60%)","Quite Confident (61%-85%)","Atlas training is being introduced across SoLS in line with the Faculty-approved schedule. Consequently, not all Atlas modules listed in the SoLS training matrix are currently available.

% Staff who are in date with all training requirements from the Matrix is unknown - 60% is an estimate.
","The drill for the LSB was completed during the previous reporting period.","There are currently no PEEPs in place for staff within SoLS.","Live data provided by Matt Hardman.","Note Incidents ID 18330 and 18389 reassigned to Estates for investigation.","All inspections scheduled for the current reporting period have been completed within the designated time-frame.","One action from the bio audit remains outstanding — we are currently awaiting delivery of the autoclave containers. The delay is due to ongoing supply chain issues. Please note that the purchase order was placed in early July to ensure receipt before the previous financial year end."
